LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID201731,201731,0,11.538971900939941,847.939498740173,388.17118563579817,0.0,660.0,11,4.8,1,,162.03954802259886,156.0,53.0,255.0,28681.0,68.8568476806906,0.4975562653628581,1.5637341950530925
ID210817,210817,0,11.022988319396973,847.5546559362891,387.94957621864535,0.0,2280.0,38,4.8,1,,159.62146892655366,159.0,45.0,255.0,28253.0,65.43593494343077,0.4836452589931429,1.59038345330864
ID213638,213638,0,10.693538665771484,847.4455763862167,387.87379326769087,0.0,3360.0,56,4.8,1,,155.07909604519773,160.0,42.0,255.0,27449.0,63.96860436677333,0.46614534166236693,1.5415609646132296
ID209157,209157,0,11.028178215026855,847.6927387386992,388.01209369536485,0.0,2040.0,34,4.8,1,,159.909604519774,166.0,54.0,255.0,28304.0,65.23543697082533,0.481089721867969,1.5924495394009583
ID212228,212228,0,11.2471284866333,847.4927182362671,387.97460446566464,0.0,2460.0,41,4.8,1,,161.03389830508473,167.0,49.0,255.0,28503.0,65.73698439313473,0.4885557560316611,1.6080018816990393
ID201998,201998,0,12.0842866897583,848.0717682139099,388.25853227356595,0.0,0.0,0,4.8,1,,160.54237288135593,145.0,28.0,255.0,28416.0,74.08724633388282,0.5104226034213425,1.4645615974890867
ID214798,214798,0,10.862509727478027,847.4460518223384,387.9246785090392,0.0,3240.0,54,4.8,1,,158.5536723163842,163.0,55.0,255.0,28064.0,63.42657441129157,0.47524847171551166,1.6106107750011125
ID210578,210578,0,10.948905944824219,847.6230006757202,387.9762571237526,0.0,2340.0,39,4.8,1,,159.954802259887,164.0,53.0,255.0,28312.0,63.64548645078667,0.481325324515713,1.6332321993613697
ID208918,208918,0,11.017810821533203,847.5599247406112,387.907011279892,0.0,2100.0,35,4.8,1,,157.2316384180791,161.0,53.0,255.0,27830.0,67.3508243362886,0.4642583892543884,1.4803658548033676
ID211990,211990,0,11.113341331481934,847.5366406186271,387.8963423041414,0.0,2580.0,43,4.8,1,,157.4915254237288,154.0,37.0,255.0,27876.0,67.95035944149257,0.46965243637226334,1.4813489276251053
ID202265,202265,0,11.697253227233887,847.9120064635324,388.14849576532094,0.0,300.0,5,4.8,1,,159.16949152542372,151.0,44.0,255.0,28173.0,71.4376283604286,0.5068934348425314,1.4989837405715507
ID213404,213404,0,10.87370491027832,847.4454797751068,387.9140256188188,0.0,3060.0,51,4.8,1,,157.36723163841808,164.0,51.0,255.0,27854.0,64.40175436731583,0.4660176822308164,1.5534947483472332
ID202533,202533,0,10.868613243103027,847.6048358217864,387.9885404015838,0.0,780.0,13,4.8,1,,158.61581920903956,153.0,52.0,255.0,28075.0,69.32728193906088,0.44908185925360533,1.4180936525784495
ID208677,208677,0,11.013140678405762,847.5818639760964,387.955457302943,0.0,1920.0,32,4.8,1,,158.864406779661,165.0,41.0,255.0,28119.0,65.82245168921503,0.48335947472741114,1.5729190512377462
ID214565,214565,0,11.061100006103516,847.4969474209456,387.92924774908505,0.0,3120.0,52,4.8,1,,159.12994350282486,163.0,48.0,255.0,28166.0,66.29573941213215,0.4814886244841514,1.5602133708075314
ID210346,210346,0,10.85941219329834,847.4153605636419,387.88198346144014,0.0,2520.0,42,4.8,1,,156.8870056497175,164.0,45.0,255.0,27769.0,64.87495577652174,0.46604044507658915,1.5375085925239556
ID213167,213167,0,10.972853660583496,847.4961293716569,387.8942805751941,0.0,3300.0,55,4.8,1,,156.19774011299435,163.0,46.0,255.0,27647.0,64.97394928564051,0.47445833719894737,1.5471451267331144
ID208430,208430,0,11.184368133544922,847.4836427047353,387.9769677207286,0.0,1620.0,27,4.8,1,,161.07909604519773,162.0,54.0,255.0,28511.0,65.8519729744885,0.4848348677156922,1.5974088128213857
ID202797,202797,0,11.334108352661133,847.7158109265458,388.0699560902658,0.0,900.0,15,4.8,1,,159.25423728813558,160.0,45.0,255.0,28188.0,70.33279492244333,0.4815650802144308,1.4719646155174755
ID211760,211760,0,10.771074295043945,847.3627531288287,387.8981607493071,0.0,2760.0,46,4.8,1,,156.0,160.0,47.0,255.0,27612.0,65.4217089351845,0.46869926229418873,1.52192798461248
ID208186,208186,0,11.02994441986084,847.6571374352809,387.96517873186707,0.0,1800.0,30,4.8,1,,158.61016949152543,166.0,56.0,255.0,28074.0,65.97003889916598,0.4805828638440051,1.5608093111842722
ID214335,214335,0,10.903518676757812,847.5399450765049,387.90238459181495,0.0,3420.0,57,4.8,1,,157.17514124293785,162.0,51.0,255.0,27820.0,63.42163967078646,0.4669801483758902,1.5777949839530012
ID210110,210110,0,10.966873168945312,847.5255864177383,387.95227396565457,0.0,2220.0,37,4.8,1,,158.12994350282486,165.0,54.0,255.0,27989.0,63.553574898530734,0.48293267315913185,1.62057554737384
ID207939,207939,0,11.163908958435059,847.643241744393,387.96958512788075,0.0,1680.0,28,4.8,1,,159.14689265536722,166.0,39.0,255.0,28169.0,67.16635473985129,0.48269573133410176,1.542757978957631
ID211523,211523,0,11.021138191223145,847.4571245963269,387.96250596665516,0.0,2640.0,44,4.8,1,,159.72316384180792,161.0,51.0,255.0,28271.0,65.19426542632937,0.47630126159371056,1.5808666750919855
