LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID316003,316003,0,3.347155809402466,320.3738193466587,0.0,0.0,60.0,1,4.8,1,,113.75706214689265,112.0,0.0,222.0,20135.0,52.274328485335005,0.23040571765391848,0.8150135181758872
ID316188,316188,0,4.684599876403809,328.4938931089012,0.0,0.0,0.0,0,4.8,1,,142.92090395480227,149.0,0.0,254.0,25297.0,66.37894367052392,0.22084776402723777,0.7789810764162645
ID316004,316004,1,1.8075062036514282,94.99458511748884,6.107635406746265,0.0,60.0,1,4.8,1,,122.81920903954803,120.0,104.0,150.0,21739.0,12.062859671808171,0.07159640484393061,1.3605232986748792
ID315604,315604,1,1.58162522315979,94.96995836069438,5.277957362148054,0.0,420.0,7,4.8,1,,121.88700564971751,120.0,105.0,144.0,21574.0,10.640761067543938,0.08064741669884269,1.709704887629077
ID314805,314805,1,1.4220906496047974,94.87970888499714,5.543642201592685,0.0,240.0,4,4.8,1,,120.92090395480226,120.0,107.0,144.0,21403.0,9.115076377082156,0.0632591210091542,1.578538231843185
ID314535,314535,1,1.9270243644714355,94.69132748866699,5.82653375353025,0.0,180.0,3,4.8,1,,124.10734463276836,121.0,105.0,151.0,21967.0,11.469564580181869,0.08378234710761923,1.6729809590542115
ID315073,315073,1,1.5559189319610596,94.89530259051365,5.2900313666628085,0.0,360.0,6,4.8,1,,120.41242937853107,116.0,103.0,157.0,21313.0,13.277820847223023,0.06981354343806445,1.1836031153077848
ID316189,316189,1,1.7303295135498047,94.61648950781151,5.042698536998174,0.0,0.0,0,4.8,1,,126.63276836158192,123.0,107.0,158.0,22414.0,13.338923295341093,0.08168551882090297,1.4338356622695017
ID316399,316399,1,1.612619161605835,94.24550061676347,4.80152385405358,0.0,300.0,5,4.8,1,,122.10169491525424,121.0,98.0,146.0,21612.0,11.597944932460857,0.08280923161283232,1.6102653615001847
ID316537,316537,1,1.596487283706665,93.65146721430753,4.845069879401493,0.0,120.0,2,4.8,1,,122.14689265536722,119.0,103.0,153.0,21620.0,12.760508323570487,0.07689285032362678,1.3669666214976284
ID320389,320389,2,9.598422050476074,440.89297117826084,36.488019326732804,0.0,2760.0,46,4.8,1,,208.10169491525423,219.0,115.0,255.0,36834.0,42.434586658034156,0.30759798302224206,2.3072511878060906
ID316167,316167,2,7.110475540161133,420.206780151704,152.68804947295484,0.0,780.0,13,4.8,1,,225.15254237288136,239.0,138.0,255.0,39852.0,32.884688457956976,0.19852823006978218,2.268230166396273
ID320519,320519,2,9.418267250061035,475.0083994441604,26.68809522335945,0.0,2520.0,42,4.8,1,,206.41242937853107,216.0,127.0,255.0,36535.0,41.150147233758965,0.30344621522827847,2.3355171313732477
ID320140,320140,2,9.44023609161377,436.03395386488125,47.435965198763775,0.0,2820.0,47,4.8,1,,205.87005649717514,216.0,117.0,255.0,36439.0,42.39237785929178,0.3017366938439841,2.2513363430190476
ID320649,320649,2,9.553091049194336,453.45951987350355,18.605879883156963,0.0,2640.0,44,4.8,1,,204.05649717514123,212.0,114.0,255.0,36118.0,43.49369305299074,0.3058415723752694,2.1976582866040704
ID320779,320779,2,9.44041919708252,445.23091940644525,28.8523463680265,0.0,2700.0,45,4.8,1,,205.31638418079095,215.0,115.0,255.0,36341.0,43.798757408035286,0.29798106319725104,2.152346172889369
ID316828,316828,2,9.2070894241333,456.3672281027886,172.12742901723715,0.0,1020.0,17,4.8,1,,207.77401129943502,213.0,113.0,255.0,36776.0,38.831143813191765,0.2968579306230729,2.4496119398198757
ID317084,317084,2,9.052906036376953,479.0633385132017,177.18870400704347,0.0,1200.0,20,4.8,1,,208.90395480225988,214.0,125.0,255.0,36976.0,38.50216694253288,0.286520280739142,2.4167415894922586
ID316956,316956,2,9.646034240722656,483.04011206316824,176.3826436348234,0.0,1260.0,21,4.8,1,,209.25423728813558,218.0,129.0,255.0,37038.0,40.22716456419956,0.30934656426369767,2.457964003789543
ID316190,316190,2,7.8831939697265625,320.64782497501534,7.251360176289023,0.0,0.0,0,4.8,1,,201.6497175141243,209.0,112.0,255.0,35692.0,43.51229466313591,0.234094458392321,1.7581598478829272
ID317470,317470,2,9.484739303588867,462.89855568590565,172.5919713851637,0.0,1080.0,18,4.8,1,,210.3954802259887,216.0,131.0,255.0,37240.0,37.69436873063439,0.3050231451934863,2.6091828051911774
ID317598,317598,2,8.163077354431152,486.76414958959725,172.6034457565894,0.0,1380.0,23,4.8,1,,212.28813559322035,225.0,117.0,255.0,37575.0,40.91776016685686,0.2394756075310032,2.0047820509789456
ID317215,317215,2,9.020883560180664,471.96005043364147,175.70363220484754,0.0,1140.0,19,4.8,1,,206.72881355932202,211.0,131.0,255.0,36591.0,38.500810429106515,0.2850659817994446,2.3822158147587964
ID321048,321048,2,9.538368225097656,429.7195786845288,58.246770428878854,0.0,2880.0,48,4.8,1,,208.27118644067798,216.0,127.0,255.0,36864.0,39.849360027572445,0.3065229964976705,2.452357831512581
ID320922,320922,2,9.528207778930664,422.40604138960646,70.63501149359766,0.0,2940.0,49,4.8,1,,205.42372881355934,215.0,109.0,255.0,36360.0,43.990263665731575,0.3040950733289464,2.1778309666695588
