LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID836364,836364,0,9.015246391296387,619.5166797062333,480.6821390349274,0.0,0.0,0,4.8,1,,201.59887005649716,220.0,58.0,255.0,35683.0,58.11091079359729,0.25531898260165964,1.4112027559709164
ID840719,840719,0,6.84942626953125,834.1726773283438,630.5701482650239,0.0,2160.0,36,4.8,1,,193.79661016949152,195.0,107.0,254.0,34302.0,37.833567794752376,0.2046744261594608,1.740575091471573
ID843270,843270,0,5.309306621551514,708.3256562791069,687.6435096387248,0.0,3240.0,54,4.8,1,,171.03954802259886,174.0,96.0,244.0,30274.0,30.232124993336758,0.17188385826930397,1.6596189415370757
ID839425,839425,0,6.419671535491943,702.8272802215636,493.33816244522086,0.0,1380.0,23,4.8,1,,181.3276836158192,181.0,103.0,253.0,32095.0,35.564202056271874,0.19508780249845467,1.6646055690307329
ID842014,842014,0,5.890691757202148,848.0222559151118,663.8777565644484,0.0,2280.0,38,4.8,1,,185.92655367231637,182.0,99.0,253.0,32909.0,33.51170463755063,0.1728474534742563,1.635295914219475
ID841502,841502,0,4.71492338180542,790.3104117072317,704.5891724454412,0.0,2580.0,43,4.8,1,,180.68361581920905,182.0,114.0,242.0,31981.0,27.254928920984753,0.14639452829005084,1.6931461797591318
ID836504,836504,0,8.992659568786621,619.3502392903104,480.17753753724486,0.0,720.0,12,4.8,1,,206.82485875706215,215.0,87.0,255.0,36608.0,48.0296765872573,0.2627996289851517,1.7923110071317923
ID843546,843546,0,4.99174690246582,738.4193941268667,663.35489394453,0.0,3060.0,51,4.8,1,,177.28813559322035,180.0,99.0,240.0,31380.0,28.499831048616617,0.17178106848212799,1.8238797673635017
ID840859,840859,0,6.725171089172363,821.0245777238089,573.9266189480084,0.0,1920.0,32,4.8,1,,187.24858757062148,184.0,120.0,255.0,33143.0,35.36120933784105,0.19555360329402802,1.7322804610507088
ID841876,841876,0,6.762637138366699,809.8816971749173,706.8691181313936,0.0,2520.0,42,4.8,1,,187.01694915254237,191.0,99.0,255.0,33102.0,39.005896200019784,0.20216843313178184,1.612607696263359
ID838544,838544,0,6.627851963043213,655.6273474984198,481.1626773356664,0.0,1200.0,20,4.8,1,,179.24293785310735,179.0,111.0,253.0,31726.0,37.38076146473766,0.20687312711592065,1.6438658273345348
ID843408,843408,0,5.3680901527404785,752.0536130991495,655.4961320834994,0.0,3000.0,50,4.8,1,,173.31638418079095,176.0,113.0,237.0,30677.0,29.711900975515537,0.17549972511725756,1.7417791412479016
ID839569,839569,0,6.4614105224609375,722.3299844630885,519.9268714359077,0.0,1500.0,25,4.8,1,,183.85875706214688,187.0,94.0,255.0,32543.0,40.668104330174565,0.18388721245774234,1.4044348131617512
ID841005,841005,0,6.133809566497803,835.334743121348,616.5448001602404,0.0,2100.0,35,4.8,1,,187.71751412429379,186.0,101.0,254.0,33226.0,38.03944392055844,0.17377816692102993,1.4612005102155166
ID836654,836654,0,8.872087478637695,618.3364860266686,480.27014143246464,0.0,300.0,5,4.8,1,,203.12994350282486,213.0,101.0,255.0,35954.0,50.51777428536211,0.25100934890622556,1.613574705441911
ID843691,843691,0,5.446737289428711,673.3651991262849,727.8198639532282,0.0,3480.0,58,4.8,1,,175.12994350282486,177.0,94.0,246.0,30998.0,32.518701900479435,0.1790676628811151,1.6358204727986205
ID837670,837670,0,8.844579696655273,619.0870359119577,479.57110645045464,0.0,540.0,9,4.8,1,,207.25988700564972,218.0,113.0,255.0,36685.0,47.51423501996655,0.251929241151915,1.7555787136884233
ID839715,839715,0,6.620616436004639,729.5378246014127,534.9054615687293,0.0,1560.0,26,4.8,1,,185.5084745762712,189.0,98.0,255.0,32835.0,38.7585941560748,0.2015782875049444,1.6058959884336257
ID836797,836797,0,9.158337593078613,619.1944002639843,480.4308552376803,0.0,180.0,3,4.8,1,,202.54237288135593,206.0,85.0,255.0,35850.0,51.64696221174177,0.26488055130993937,1.6424859524285298
ID839999,839999,0,6.5766096115112305,744.6680002504934,538.964790355193,0.0,1620.0,27,4.8,1,,188.4689265536723,192.0,105.0,254.0,33359.0,35.92733188927444,0.1935007238726928,1.7010014899112231
ID843967,843967,0,5.674750804901123,727.7683095812487,674.5560093003791,0.0,3120.0,52,4.8,1,,171.06214689265536,173.0,86.0,244.0,30278.0,37.36690900444514,0.1826100636394151,1.4137736303014694
ID837816,837816,0,8.948729515075684,619.8186955855002,479.60427883901406,0.0,780.0,13,4.8,1,,204.180790960452,218.0,86.0,255.0,36140.0,51.78617612845343,0.2556734596576634,1.605609638888929
ID838840,838840,0,8.876617431640625,620.0101687836377,479.77534944956886,0.0,960.0,16,4.8,1,,204.8135593220339,216.0,95.0,255.0,36252.0,50.134639600055294,0.24978524990016637,1.632985008582752
ID842297,842297,0,5.275056838989258,780.2818184924337,679.0753628434219,0.0,2820.0,47,4.8,1,,173.6723163841808,172.0,119.0,235.0,30740.0,27.35114614000772,0.1731364536776395,1.8742393426421906
ID837562,837562,0,8.682531356811523,618.7337037590444,480.0305021641077,0.0,480.0,8,4.8,1,,202.42937853107344,208.0,108.0,255.0,35830.0,48.144394983856515,0.24060756473129508,1.630919992559465
